stationName,hotPlaceCount,hotPlaceSignal,cafeCount,restaurantCount,commercialCount,radius,lat,lng,name,address
을지로4가역,1081,1399,189,860,32,600,37.5666405038268,126.997632059113,을지로4가역 2호선,서울 중구 을지로 지하 178
을지로입구역,1897,2450.7,415,1434,48,600,37.566035517712955,126.9821953112953,을지로입구역 2호선,서울 중구 을지로 지하 42
응봉역,61,78.65,18,42,1,600,37.5499526279456,127.034483653629,응봉역 경의중앙선,서울 성동구 고산자로 123
의정부역,1042,1375.4,182,856,4,600,37.7383624923599,127.045956826767,의정부역 1호선,경기 의정부시 평화로 525
이대역,520,659.7,142,357,21,600,37.556814718869,126.94642954546576,이대역 2호선,서울 마포구 신촌로 지하 180
이수역,809,1063.2,153,650,6,600,37.48528852311765,126.98167629035197,이수역 7호선,서울 동작구 사당로 지하 310
이태원역,766,987.35,125,613,28,600,37.5345252050511,126.994333861918,이태원역 6호선,서울 용산구 이태원로 지하 177
인천대입구역,412,539.8,76,331,5,600,37.3862063921103,126.639542234479,인천대입구역 인천1호선,인천 연수구 인천타워대로 지하 155
인천터미널역,580,761.75,115,461,4,600,37.4419166733897,126.699694889876,인천터미널역 인천1호선,인천 미추홀구 예술로 지하 85
잠실새내역,655,865.4,99,552,4,600,37.5116263587296,127.086314327913,잠실새내역 2호선,서울 송파구 올림픽로 지하 140
잠실역,637,817.4,157,461,19,600,37.51331105877401,127.10023101886318,잠실역 2호선,서울 송파구 올림픽로 지하 265
전곡역,250,332.85,31,219,0,600,38.0244410116172,127.071725088088,전곡역 1호선,경기 연천군 전곡읍 전곡리 333-10
정자역,589,774.35,112,473,4,600,37.3661737923199,127.108097457244,정자역 수인분당선,경기 성남시 분당구 성남대로 지하 333
제기동역,410,538.15,69,336,5,600,37.57817349658033,127.03494949507864,제기동역 1호선,서울 동대문구 왕산로 지하 93
종각역,2103,2660.05,440,1550,113,600,37.570227990912244,126.98315081716676,종각역 1호선,서울 종로구 종로 지하 55
종로3가역,1573,2026.25,282,1236,55,600,37.570420844523,126.992153252476,종로3가역 1호선,서울 종로구 종로 지하 129
주안역,551,729.15,78,470,3,600,37.46505238644672,126.67996793218974,주안역 1호선,인천 미추홀구 주안로 95-19
지행역,326,430.3,52,272,2,600,37.892342734325595,127.05579309162063,지행역 1호선,경기 동두천시 평화로 2285
창동역,336,442.7,46,286,4,600,37.6533385121404,127.047644999036,창동역 1호선,서울 도봉구 마들로11길 77
천호역,737,969.15,132,599,6,600,37.5385112120297,127.12392845044,천호역 5호선,서울 강동구 천호대로 지하 997
청담역,224,287.35,47,169,8,600,37.519455579961,127.053717937903,청담역 7호선,서울 강남구 학동로 지하 508
청량리역,643,850.45,84,554,5,600,37.580037056302906,127.04472723023305,청량리역 1호선,서울 동대문구 왕산로 지하 205
청산역,10,13.2,2,8,0,600,37.9950890028797,127.074273958107,청산역 1호선,경기 연천군 청산면 학담로 46
충무로역,1200,1559.35,231,943,26,600,37.56139658395457,126.99414960395544,충무로역 3호선,서울 중구 퇴계로 지하 214
태릉입구역,542,709.8,106,430,6,600,37.618459513199,127.075405300578,태릉입구역 7호선,서울 노원구 동일로 지하 992-1
판교역,492,644.4,92,394,6,600,37.39477752734142,127.11119782955879,판교역 신분당선,경기 성남시 분당구 판교역로 지하 160
평촌역,444,585.35,87,356,1,600,37.39423950914369,126.9638080221341,평촌역 4호선,경기 안양시 동안구 부림로 지하 123
한남역,268,353.1,38,227,3,600,37.5294289189437,127.009209110584,한남역 경의중앙선,서울 용산구 독서당로6길 12-13
합정역,1290,1634.2,322,909,59,600,37.54991315995173,126.91445406513526,합정역 2호선,서울 마포구 양화로 지하 55
혜화역,971,1066.1,225,535,211,600,37.58204391787134,127.00194500977393,혜화역 4호선,서울 종로구 대학로 지하 120
홍대입구역,1870,2370,550,1248,72,600,37.5568707448873,126.923778562273,홍대입구역 2호선,서울 마포구 양화로 지하 160
회기역,539,706.9,125,412,2,600,37.5897962196601,127.058048369273,회기역 1호선,서울 동대문구 회기로 196
회룡역,259,344.1,37,222,0,600,37.7238058806629,127.047295368138,회룡역 1호선,경기 의정부시 평화로 363
